标题,歌曲id,所属歌单
谎话情歌,412911786,5172410111
陈瑞,486252038,5172410111
所以来吧,451991164,5172410111
大人,569870903,5172410111
高飞,191024,5172410111
只要有想见的人，就不是孤身一人,1347529801,5172410111
独一,541480287,5172410111
霓虹,1306496592,5172410111
荒岛,2679694399,8278937351
爱错 (Live),2678621910,8278937351
偶像,2680565850,8278937351
我长期坠入梦乡,2679763274,8278937351
致我所爱的一切 (Surprise),2679385641,8278937351
不听话的眼泪,2678559622,8278937351
没有人会为了我改变,2678299844,8278937351
我管不住我自己,2674715528,8278937351
Do U,2672453890,8278937351
像晴天像雨天,2674443509,8278937351
为你我受冷风吹,257098,8484246201
爱的初体验,185937,8484246201
明天会更好,5285415,8484246201
漂洋过海来看你,298490,8484246201
很爱很爱你,254589,8484246201
梦回唐朝,381920,8484246201
掌心,385727,8484246201
心太软,144619,8484246201
爱在85°C,254875,8636932202
甜蜜蜜,306880,8636932202
夏夜晴朗的晚上,1871871951,8636932202
春风吹,82486,8636932202
I'm Still in Love,255037,8636932202
每天每天,82488,8636932202
此刻，你心里想起谁,25642885,8636932202
苏丽珍,82455,8636932202
飞,1871868390,8636932202
Tell Me Why,382231,8636932202
同桌的你,254165,8482331202
我们的时代,1329748351,8482331202
我不愿让你一个人,385554,8482331202
少年他的奇幻漂流,422094255,8482331202
暖暖,254141,8482331202
漂洋过海来看你,223715,8482331202
小手拉大手,254146,8482331202
张三的歌,113914,6916210042
南屏晚钟,310690,6916210042
浪人情歌,156902,6916210042
哭砂,240055,6916210042
当爱已成往事,26620756,6916210042
恋曲1980,109528,6916210042
雨爱,316100,6916210042
奇妙能力歌,30431366,6686195784
Edamame 毛豆之歌,1331885986,6686195784
日子,326704,6686195784
你.我,297902,6686195784
当你老了,28240269,6686195784
吾爱 (My Love),1411703235,6686195784
山有多高,65247,6686195784
颓圮花园,29307381,6686195784
不要怕&啊杰咯,571069109,6686195784
欲爱歌,26402737,6686195784
泡沫,233931,6845912363
遇见,32712804,6845912363
Summertime Sadness,16593589,6845912363
克卜勒,28196001,6845912363
Red,19292800,6845912363
烟火里的尘埃,29004400,6845912363
22,19292804,6845912363
Moves Like Jagger,21253966,6845912363
Someone Like You,2117030,6845912363
当你,108251,6845912363
夏日之神话,115911,5199155506
情已逝,190836,5199155506
共同渡过,188995,5199155506
孤单一吻,347800,5199155506
堆积情感,253918,5199155506
结识你那一天,229608,5199155506
昨日少年,194714,5199155506
真真假假,113554,5199155506
一分钟都市一分钟恋愛,400161440,5199155506
你怎么说,301005,5199155506
恋一世的爱,235395,6957304360
偏偏喜欢你,400161446,6957304360
脸谱,357247,6957304360
留一些空间,5282653,6957304360
危险关系,257384,6957304360
光辉岁月,347610,6957304360
现代爱情故事,192842,6957304360
钟爱一生,25642074,6957304360
当爱已成往事,187996,6957303377
暧昧,300197,6957303377
用一首歌的时间怀念你,88971,6957303377
为爱痴狂,254638,6957303377
一千个伤心的理由,189869,6957303377
恋恋风尘,212099,6957303377
太阳眼镜,83047,6957303377
情敌贝多芬,26093464,6957303377
圣诞结,65355,7829018978
爱在圣诞,29774451,7829018978
想念圣诞节,307495,7829018978
圣诞之吻,1806762455,7829018978
Lonely Christmas,66938,7829018978
雪人,230522,7829018978
让每天都是圣诞节,5237045,7829018978
十二月的奇迹 (Miracles in December),28059507,7829018978
Merry Christmas I Love You (Christmas Version),190112,7829018978
单身X'mas,288210,7829018978
恰似你的温柔,29005019,9493371200
似水流年,188591,9493371200
蓝雨,191144,9493371200
但愿人长久,229369,9493371200
情感的禁区,113586,9493371200
We Are The World,28493451,9493371200
萍聚,259541,9493371200
千千阕歌,212645,9493371200
分分钟需要你,117614,9493371200
Billie Jean (Extended),26643898,9493371200
云野,1379458324,8640483201
随意,25638107,8640483201
梦乡,1379873872,8640483201
慢慢喜欢你,541687281,8640483201
你的姑娘,1356499052,8640483201
幻觉动物,1334667455,8640483201
小咪,1856336660,8640483201
念念又不忘,1316453100,8640483201
北楼,502706969,8640483201
面包啤酒,1980706183,8640483201
故乡,168107,7706521452
像梦一样自由,155883,7706521452
爱的就是你,25643327,7706521452
怪我更爱我自己,1496348579,7706521452
越过山丘,490602750,7706521452
想把我唱给你听,108103,7706521452
第一天,543798371,7706521452
情人劫,108099,7706521452
完美生活,168087,7706521452
再见蒲公英,25638231,7706521452
我是女生,308438,6957248137
相约一九九八,280202,6957248137
想你,346263,6957248137
Di Da Di,25641943,6957248137
红豆,299936,6957248137
相见恨晚,280922,6957248137
头发乱了,189012,6957248137
征服,280175,6957248137
这些年来,187775,6957248137
蒙娜丽莎的眼泪,110207,6957248137
我怀念的,287063,8482331201
